GAME_ID,TEAM1_ABBR,TEAM2_ABBR,GAME_NO_TEAM1,GAME_NO_TEAM2,IS_TEAM1_HOME,IS_POST_SEASON,d_PTS_H2H_per_GAME_TEAM1
1,MIL,ORL,74,74,1,1,17
2,MIL,ORL,75,75,1,1,17
3,MIL,ORL,76,76,0,1,17
4,MIL,ORL,77,77,0,1,17
5,MIL,ORL,78,78,1,1,17
6,MIL,ORL,79,79,0,1,17
7,MIL,ORL,80,80,1,1,17
8,IND,MIA,74,74,1,1,-7.5
9,IND,MIA,75,75,1,1,-7.5
10,IND,MIA,76,76,0,1,-7.5
11,IND,MIA,77,77,0,1,-7.5
12,IND,MIA,78,78,1,1,-7.5
13,IND,MIA,79,79,0,1,-7.5
14,IND,MIA,80,80,1,1,-7.5
15,BOS,PHI,73,74,1,1,-2.5
16,BOS,PHI,74,75,1,1,-2.5
17,BOS,PHI,75,76,0,1,-2.5
18,BOS,PHI,76,77,0,1,-2.5
19,BOS,PHI,77,78,1,1,-2.5
20,BOS,PHI,78,79,0,1,-2.5
21,BOS,PHI,79,80,1,1,-2.5
22,TOR,BKN,73,73,1,1,4.5
23,TOR,BKN,74,74,1,1,4.5
24,TOR,BKN,75,75,0,1,4.5
25,TOR,BKN,76,76,0,1,4.5
26,TOR,BKN,77,77,1,1,4.5
27,TOR,BKN,78,78,0,1,4.5
28,TOR,BKN,79,79,1,1,4.5
29,LAL,POR,72,75,1,1,7.7
30,LAL,POR,73,76,1,1,7.7
31,LAL,POR,74,77,0,1,7.7
32,LAL,POR,75,78,0,1,7.7
33,LAL,POR,76,79,1,1,7.7
34,LAL,POR,77,80,0,1,7.7
35,LAL,POR,78,81,1,1,7.7
36,HOU,OKC,73,73,1,1,-7.3
37,HOU,OKC,74,74,1,1,-7.3
38,HOU,OKC,75,75,0,1,-7.3
39,HOU,OKC,76,76,0,1,-7.3
40,HOU,OKC,77,77,1,1,-7.3
41,HOU,OKC,78,78,0,1,-7.3
42,HOU,OKC,79,79,1,1,-7.3
43,DEN,UTA,74,73,1,1,4.5
44,DEN,UTA,75,74,1,1,4.5
45,DEN,UTA,76,75,0,1,4.5
46,DEN,UTA,77,76,0,1,4.5
47,DEN,UTA,78,77,1,1,4.5
48,DEN,UTA,79,78,0,1,4.5
49,DEN,UTA,80,79,1,1,4.5
50,LAC,DAL,73,76,1,1,9
51,LAC,DAL,74,77,1,1,9
52,LAC,DAL,75,78,0,1,9
53,LAC,DAL,76,79,0,1,9
54,LAC,DAL,77,80,1,1,9
55,LAC,DAL,78,81,0,1,9
56,LAC,DAL,79,82,1,1,9
