TEAM_ID,ABBREVIATION,NICKNAME,CITY,CONFERENCE,DIVISION
1610612737,ATL,Hawks,Atlanta,East,Southeast
1610612738,BOS,Celtics,Boston,East,Atlantic
1610612740,NOP,Pelicans,New Orleans,West,Southwest
1610612741,CHI,Bulls,Chicago,East,Central
1610612742,DAL,Mavericks,Dallas,West,Southwest
1610612743,DEN,Nuggets,Denver,West,Northwest
1610612745,HOU,Rockets,Houston,West,Southwest
1610612746,LAC,Clippers,Los Angeles,West,Pacific
1610612747,LAL,Lakers,Los Angeles,West,Pacific
1610612748,MIA,Heat,Miami,East,Southeast
1610612749,MIL,Bucks,Milwaukee,East,Central
1610612750,MIN,Timberwolves,Minnesota,West,Northwest
1610612751,BKN,Nets,Brooklyn,East,Atlantic
1610612752,NYK,Knicks,New York,East,Atlantic
1610612753,ORL,Magic,Orlando,East,Southeast
1610612754,IND,Pacers,Indiana,East,Central
1610612755,PHI,76ers,Philadelphia,East,Atlantic
1610612756,PHX,Suns,Phoenix,West,Pacific
1610612757,POR,Trail Blazers,Portland,West,Pacific
1610612758,SAC,Kings,Sacramento,West,Northwest
1610612759,SAS,Spurs,San Antonio,West,Southwest
1610612760,OKC,Thunder,Oklahoma City,West,Northwest
1610612761,TOR,Raptors,Toronto,East,Atlantic
1610612762,UTA,Jazz,Utah,West,Northwest
1610612763,MEM,Grizzlies,Memphis,West,Southwest
1610612764,WAS,Wizards,Washington,East,Southeast
1610612765,DET,Pistons,Detroit,East,Central
1610612766,CHA,Hornets,Charlotte,East,Southeast
1610612739,CLE,Cavaliers,Cleveland,East,Central
1610612744,GSW,Warriors,Golden State,West,Pacific
