,SEASON,GAME_TYPE
0,2019,Regular Season
1,2019,Regular Season
2,2019,Regular Season
3,2019,Regular Season
4,2019,Regular Season
5,2019,Regular Season
6,2019,Regular Season
7,2019,Regular Season
8,2019,Regular Season
9,2019,Regular Season
10,2019,Regular Season
11,2019,Regular Season
12,2019,Regular Season
13,2019,Regular Season
14,2019,Regular Season
15,2019,Regular Season
16,2019,Regular Season
17,2019,Regular Season
18,2019,Regular Season
19,2019,Regular Season
20,2019,Regular Season
21,2019,Regular Season
22,2019,Regular Season
23,2019,Regular Season
24,2019,Regular Season
25,2019,Regular Season
26,2019,Regular Season
27,2019,Regular Season
28,2019,Regular Season
29,2019,Regular Season
30,2019,Regular Season
31,2019,Regular Season
32,2019,Regular Season
33,2019,Regular Season
34,2019,Regular Season
35,2019,Regular Season
36,2019,Regular Season
37,2019,Regular Season
38,2019,Regular Season
39,2019,Regular Season
40,2019,Regular Season
41,2019,Regular Season
42,2019,Regular Season
43,2019,Regular Season
44,2019,Regular Season
45,2019,Regular Season
46,2019,Regular Season
47,2019,Regular Season
48,2019,Regular Season
49,2019,Regular Season
50,2019,Regular Season
51,2019,Regular Season
52,2019,Regular Season
53,2019,Regular Season
54,2019,Regular Season
55,2019,Regular Season
56,2019,Regular Season
57,2019,Regular Season
58,2019,Regular Season
59,2019,Regular Season
60,2019,Regular Season
61,2019,Regular Season
62,2019,Regular Season
63,2019,Regular Season
64,2019,Regular Season
65,2019,Regular Season
66,2019,Regular Season
67,2019,Regular Season
68,2019,Regular Season
69,2019,Regular Season
70,2019,Regular Season
71,2019,Regular Season
72,2019,Regular Season
73,2019,Regular Season
74,2019,Regular Season
75,2019,Regular Season
76,2019,Regular Season
77,2019,Regular Season
78,2019,Regular Season
79,2019,Regular Season
80,2019,Regular Season
81,2019,Regular Season
82,2019,Regular Season
83,2019,Regular Season
84,2019,Regular Season
85,2019,Regular Season
86,2019,Regular Season
87,2019,Regular Season
88,2019,Regular Season
89,2019,Regular Season
90,2019,Regular Season
91,2019,Regular Season
92,2019,Regular Season
93,2019,Regular Season
94,2019,Regular Season
95,2019,Regular Season
96,2019,Regular Season
97,2019,Regular Season
98,2019,Regular Season
99,2019,Regular Season
100,2019,Regular Season
101,2019,Regular Season
102,2019,Regular Season
103,2019,Regular Season
104,2019,Regular Season
105,2019,Regular Season
106,2019,Regular Season
107,2019,Regular Season
108,2019,Regular Season
109,2019,Regular Season
110,2019,Regular Season
111,2019,Regular Season
112,2019,Regular Season
113,2019,Regular Season
114,2019,Regular Season
115,2019,Regular Season
116,2019,Regular Season
117,2019,Regular Season
118,2019,Regular Season
119,2019,Regular Season
120,2019,Regular Season
121,2019,Regular Season
122,2019,Regular Season
123,2019,Regular Season
124,2019,Regular Season
125,2019,Regular Season
126,2019,Regular Season
127,2019,Regular Season
128,2019,Regular Season
129,2019,Regular Season
130,2019,Regular Season
131,2019,Regular Season
132,2019,Regular Season
133,2019,Regular Season
134,2019,Regular Season
135,2019,Regular Season
136,2019,Regular Season
137,2019,Regular Season
138,2019,Regular Season
139,2019,Regular Season
140,2019,Regular Season
141,2019,Regular Season
142,2019,Regular Season
143,2019,Regular Season
144,2019,Regular Season
145,2019,Regular Season
146,2019,Regular Season
147,2019,Regular Season
148,2019,Regular Season
149,2019,Regular Season
150,2019,Regular Season
151,2019,Regular Season
152,2019,Regular Season
153,2019,Regular Season
154,2019,Regular Season
155,2019,Regular Season
156,2019,Regular Season
157,2019,Regular Season
158,2019,Regular Season
159,2019,Regular Season
160,2019,Regular Season
161,2019,Regular Season
162,2019,Regular Season
163,2019,Regular Season
164,2019,Regular Season
165,2019,Regular Season
166,2019,Regular Season
167,2019,Regular Season
168,2019,Regular Season
169,2019,Regular Season
170,2019,Regular Season
171,2019,Regular Season
172,2019,Regular Season
173,2019,Regular Season
174,2019,Regular Season
175,2019,Regular Season
176,2019,Regular Season
177,2019,Regular Season
178,2019,Regular Season
179,2019,Regular Season
180,2019,Regular Season
181,2019,Regular Season
182,2019,Regular Season
183,2019,Regular Season
184,2019,Regular Season
185,2019,Regular Season
186,2019,Regular Season
187,2019,Regular Season
188,2019,Regular Season
