GAME_ID,TEAM1_ABBR,TEAM2_ABBR,GAME_NO_TEAM1,GAME_NO_TEAM2,IS_TEAM1_HOME,IS_POST_SEASON,d_PTS_H2H_per_GAME_TEAM1
1,MIL,TOR,85,85,1,1,10.5
2,MIL,TOR,86,86,1,1,10.5
3,MIL,TOR,87,87,0,1,10.5
4,MIL,TOR,88,88,0,1,10.5
5,MIL,TOR,89,89,1,1,10.5
6,MIL,TOR,90,90,0,1,10.5
7,MIL,TOR,91,91,1,1,10.5
8,LAL,LAC,85,85,1,1,-7.5
9,LAL,LAC,86,86,1,1,-7.5
10,LAL,LAC,87,87,0,1,-7.5
11,LAL,LAC,88,88,0,1,-7.5
12,LAL,LAC,89,89,1,1,-7.5
13,LAL,LAC,90,90,0,1,-7.5
14,LAL,LAC,91,91,1,1,-7.5
15,BOS,MIA,85,85,1,1,13.5
16,BOS,MIA,86,86,1,1,13.5
17,BOS,MIA,87,87,0,1,13.5
18,BOS,MIA,88,88,0,1,13.5
19,BOS,MIA,89,89,1,1,13.5
20,BOS,MIA,90,90,0,1,13.5
21,BOS,MIA,91,91,1,1,13.5
22,MIL,LAL,92,92,1,1,7
23,MIL,LAL,93,93,1,1,7
24,MIL,LAL,94,94,0,1,7
25,MIL,LAL,95,95,0,1,7
26,MIL,LAL,96,96,1,1,7
27,MIL,LAL,97,97,0,1,7
28,MIL,LAL,98,98,1,1,7
29,LAL,BOS,92,92,1,1,-15
30,LAL,BOS,93,93,1,1,-15
31,LAL,BOS,94,94,0,1,-15
32,LAL,BOS,95,95,0,1,-15
33,LAL,BOS,96,96,1,1,-15
34,LAL,BOS,97,97,0,1,-15
35,LAL,BOS,98,98,1,1,-15
36,LAL,DEN,92,92,1,1,-3.67
37,LAL,DEN,93,93,1,1,-3.67
38,LAL,DEN,94,94,0,1,-3.67
39,LAL,DEN,95,95,0,1,-3.67
40,LAL,DEN,96,96,1,1,-3.67
41,LAL,DEN,97,97,0,1,-3.67
42,LAL,DEN,98,98,1,1,-3.67
