water_quality,extraction_type_group,basin,construction_year
coloured,afridev,Internal,2008
coloured,afridev,Rufiji,2004
coloured,gravity,Internal,2002
coloured,gravity,Lake Nyasa,2004
coloured,gravity,Lake Rukwa,1998
coloured,gravity,Lake Tanganyika,1990
coloured,gravity,Pangani,1981
coloured,gravity,Rufiji,2011
coloured,gravity,Ruvuma / Southern Coast,1997
coloured,gravity,Wami / Ruvu,2008
coloured,india mark ii,Internal,2009
coloured,india mark ii,Lake Rukwa,1995
coloured,india mark ii,Lake Tanganyika,2007
coloured,india mark ii,Lake Victoria,2009
coloured,india mark ii,Rufiji,2010
coloured,india mark ii,Ruvuma / Southern Coast,2009
coloured,india mark ii,Wami / Ruvu,2009
coloured,nira/tanira,Internal,2000
coloured,nira/tanira,Lake Nyasa,2012
coloured,nira/tanira,Lake Rukwa,2009
coloured,nira/tanira,Lake Tanganyika,2004
coloured,nira/tanira,Rufiji,2004
coloured,nira/tanira,Ruvuma / Southern Coast,2002
coloured,nira/tanira,Wami / Ruvu,2005
coloured,other,Internal,2000
coloured,other,Lake Rukwa,1988
coloured,other,Lake Victoria,1999
coloured,other,Pangani,2004
coloured,other,Rufiji,1983
coloured,other,Ruvuma / Southern Coast,1984
coloured,other,Wami / Ruvu,1996
coloured,other handpump,Ruvuma / Southern Coast,2003
coloured,rope pump,Rufiji,2010
coloured,rope pump,Wami / Ruvu,2011
coloured,submersible,Rufiji,2008
coloured,submersible,Wami / Ruvu,1988
coloured,swn 80,Lake Nyasa,2012
coloured,swn 80,Lake Tanganyika,2009
coloured,swn 80,Rufiji,1998
coloured,swn 80,Ruvuma / Southern Coast,2007
coloured,swn 80,Wami / Ruvu,2008
fluoride,afridev,Internal,2010
fluoride,afridev,Pangani,2008
fluoride,gravity,Internal,2000
fluoride,gravity,Pangani,2004
fluoride,india mark ii,Internal,2012
fluoride,india mark ii,Pangani,2007
fluoride,india mark ii,Ruvuma / Southern Coast,1988
fluoride,mono,Internal,2000
fluoride,mono,Pangani,2002
fluoride,nira/tanira,Internal,1998
fluoride,nira/tanira,Lake Victoria,1998
fluoride,nira/tanira,Pangani,2000
fluoride,nira/tanira,Rufiji,2007
fluoride,other,Pangani,2000
fluoride,other,Rufiji,2006
fluoride,other,Wami / Ruvu,2011
fluoride,other handpump,Wami / Ruvu,2009
fluoride,submersible,Internal,2009
fluoride,submersible,Pangani,2012
fluoride,swn 80,Internal,1997
fluoride,swn 80,Rufiji,1994
fluoride,swn 80,Wami / Ruvu,2010
fluoride,wind-powered,Internal,2010
fluoride abandoned,afridev,Rufiji,2002
fluoride abandoned,india mark ii,Wami / Ruvu,2000
fluoride abandoned,nira/tanira,Internal,2009
fluoride abandoned,nira/tanira,Lake Tanganyika,2004
fluoride abandoned,nira/tanira,Rufiji,2006
fluoride abandoned,other,Pangani,2000
fluoride abandoned,swn 80,Internal,1993
milky,afridev,Internal,1997
milky,afridev,Lake Victoria,1998
milky,afridev,Rufiji,2005
milky,gravity,Internal,2004
milky,gravity,Lake Rukwa,1996
milky,gravity,Lake Tanganyika,1996
milky,india mark ii,Internal,2009
milky,india mark ii,Lake Tanganyika,2006
milky,india mark ii,Ruvuma / Southern Coast,1982
milky,india mark iii,Wami / Ruvu,2000
milky,mono,Internal,2000
milky,nira/tanira,Internal,2004
milky,nira/tanira,Lake Rukwa,1997
milky,nira/tanira,Lake Tanganyika,1996
milky,nira/tanira,Rufiji,2008
milky,nira/tanira,Ruvuma / Southern Coast,2004
milky,nira/tanira,Wami / Ruvu,1996
milky,other,Internal,2004
milky,other,Lake Rukwa,1999
milky,other,Lake Tanganyika,1988
milky,other,Lake Victoria,1999
milky,other,Pangani,1990
milky,other,Rufiji,1987
milky,other,Ruvuma / Southern Coast,1982
milky,other,Wami / Ruvu,1997
milky,submersible,Pangani,2008
milky,submersible,Wami / Ruvu,2010
milky,swn 80,Internal,2005
milky,swn 80,Rufiji,2008
milky,swn 80,Wami / Ruvu,2001
milky,wind-powered,Internal,2001
salty,afridev,Internal,1996
salty,afridev,Lake Rukwa,2009
salty,afridev,Lake Tanganyika,2007
salty,afridev,Lake Victoria,2006
salty,afridev,Pangani,2008
salty,afridev,Rufiji,2006
salty,afridev,Ruvuma / Southern Coast,2012
salty,afridev,Wami / Ruvu,2004
salty,gravity,Internal,2010
salty,gravity,Lake Nyasa,2007
salty,gravity,Lake Victoria,1977
salty,gravity,Pangani,1976
salty,gravity,Rufiji,2002
salty,gravity,Ruvuma / Southern Coast,1987
