id,amount_tsh,gps_height,longitude,latitude,num_private,region_code,district_code,population,construction_year,pump_age_yr,date_recorded_age_yr,funder_factorize,installer_factorize,wpt_name_factorize,basin_factorize,subvillage_factorize,region_factorize,lga_factorize,ward_factorize,scheme_management_factorize,permit_factorize,extraction_type_group_factorize,management_factorize,payment_factorize,payment_type_factorize,water_quality_factorize,quality_group_factorize,quantity_factorize,source_factorize,waterpoint_type_factorize,public_meeting_factorize,status_group
50785,300.0,1996,35.2907992,-4.05969643,0,21,3,321,2012,3,2,155,324,35005,4,10356,2,35,533,9,1,5,8,1,1,0,0,3,1,3,0,n/a
51630,500.0,1569,36.65670893,-3.30921425,0,2,2,300,2000,15,2,21,5,35006,2,18483,15,24,335,0,1,0,0,1,1,0,0,1,0,0,0,n/a
17168,300.0,1567,34.76786315,-5.00434437,0,13,2,500,2010,5,2,25,19,20137,4,6926,17,31,604,0,2,5,0,1,1,0,0,1,1,3,0,n/a
45559,300.0,267,38.05804609,-9.41867222,0,80,43,250,1987,28,2,136,122,35007,3,5232,13,103,1763,0,1,5,0,3,3,0,0,2,5,3,1,n/a
49871,500.0,1260,35.00612345,-10.950412,0,10,3,60,2000,15,2,1009,1102,2785,3,2706,9,96,610,5,1,0,4,6,6,0,0,0,0,0,1,n/a
52449,500.0,1685,36.68527855,-3.30242017,0,2,2,200,1990,25,2,21,5,8828,2,7125,15,24,766,0,1,0,0,1,1,0,0,0,0,0,0,n/a
24806,500.0,550,36.39804116,-7.54138236,0,11,7,600,2007,8,4,21,150,0,7,576,0,27,409,0,1,4,0,1,1,1,1,0,3,2,0,n/a
28965,50.0,234,39.60741997,-10.89378645,0,9,4,1,1982,33,2,106,98,35008,3,705,3,100,1115,5,1,1,0,1,1,0,0,2,3,1,0,n/a
36301,30.0,584,39.26295070000001,-10.82358805,0,90,33,40,1997,18,2,3,69,35009,3,388,3,91,834,0,0,0,0,2,2,0,0,1,0,0,0,n/a
54122,500.0,1083,37.09610836,-3.25175375,0,3,7,1,2003,12,2,13,10,35010,2,16055,10,12,26,5,1,0,4,6,6,0,0,0,0,0,0,n/a
419,5.0,1259,37.23324768,-3.24112116,0,3,5,75,2006,9,2,54,46,35011,2,7956,10,56,516,5,1,0,4,2,2,0,0,0,0,0,0,n/a
45750,300.0,608,37.68639178,-4.55597478,0,21,4,500,2002,13,2,12,2,4,2,7397,2,2,1912,2,1,5,0,1,1,0,0,2,1,3,0,n/a
653,50.0,1200,33.66107435,-4.16572015,0,14,2,1661,2000,15,3,64,2088,35012,4,14297,7,78,2015,1,1,6,0,3,3,0,0,2,3,1,0,n/a
14017,50.0,1140,33.00768032,-3.2095291,0,19,4,826,1973,42,4,85,5,20185,1,378,18,108,1170,0,1,6,0,2,2,0,0,0,3,1,0,n/a
44607,1000.0,1625,35.61562385,-7.87029042,0,11,1,1,1984,31,4,11,71,0,7,16926,0,49,157,0,1,0,0,6,6,0,0,0,0,0,0,n/a
40228,1200.0,916,35.48288627,-10.91259619,0,10,2,235,1989,26,2,11,5,35013,3,11587,9,106,1583,0,1,0,0,0,0,0,0,0,6,1,0,n/a
27714,500.0,-39,39.85018977,-7.72794628,0,6,6,900,2006,9,4,25,19,35014,7,986,8,23,976,0,0,3,0,1,1,0,0,0,5,2,0,n/a
28785,200.0,1793,38.25402354,-4.5658016,0,4,1,1,1978,37,4,21,5,35015,2,462,5,37,362,0,1,0,0,6,6,0,0,0,0,0,0,n/a
28330,500.0,1158,31.58679783,-3.38780779,0,17,5,369,1999,16,3,92,5,35016,5,18484,6,45,1332,9,1,0,8,3,3,0,0,3,1,0,0,n/a
18532,50.0,368,39.43852591,-10.58336646,0,9,4,300,1982,33,2,106,98,35017,3,18485,3,100,1950,5,1,1,0,1,1,0,0,2,3,0,0,n/a
69961,50.0,-27,39.32230666,-6.85026202,0,7,3,120,2010,5,2,66,59,4,6,611,20,73,1882,11,0,1,10,1,1,0,0,0,3,0,0,n/a
55083,500.0,1674,34.94362033,-9.35251465,0,11,4,30,2008,7,4,43,5,0,7,9979,0,15,1647,0,0,0,0,1,1,0,0,1,0,0,0,n/a
8691,300.0,1087,31.04608844,-5.05419563,0,16,3,1750,2005,10,2,59,5,35018,5,4043,12,18,1646,0,1,5,0,3,3,2,2,0,5,3,0,n/a
30331,50.0,1441,34.62104755,-5.16592646,0,13,2,1,1970,45,2,25,19,13213,4,8222,17,31,55,0,2,6,0,3,3,3,3,2,3,0,0,n/a
70970,500.0,1158,33.72235857,-3.04712172,0,17,2,173,1998,17,3,1855,5,35019,1,7945,6,11,940,4,0,3,1,1,1,0,0,0,5,2,0,n/a
61136,200.0,1726,34.92959242,-9.15287185,0,11,4,50,2008,7,4,232,5,19726,7,18486,0,15,56,0,0,0,0,6,6,0,0,0,0,0,0,n/a
28799,500.0,986,35.42444315,-10.57968552,0,10,2,36,2009,6,2,88,5,30381,3,1066,9,106,678,0,1,0,0,1,1,0,0,2,6,0,0,n/a
46825,50.0,1120,35.89487669,-6.14752205,0,1,5,297,2000,15,4,22,88,35020,6,9763,14,93,541,0,0,6,0,2,2,1,1,2,3,1,0,n/a
44718,500.0,1158,33.37181104,-3.5219862,0,17,1,190,1998,17,2,6,5,35021,1,2639,6,16,645,4,0,3,1,4,4,6,1,0,5,2,0,n/a
37350,500.0,1309,36.29176128,-5.24231281,0,21,5,860,2002,13,2,928,1018,1,4,63,2,64,1869,0,0,0,0,1,1,0,0,3,1,0,0,n/a
65738,5.0,1564,35.6124173,-3.35116762,0,24,30,200,2002,13,2,23,78,35022,4,6985,15,86,296,0,1,0,0,2,2,0,0,0,6,0,0,n/a
3271,50.0,1200,32.86178245,-3.92819891,0,14,1,538,2000,15,3,21,5,35023,4,10603,7,92,1112,0,1,6,0,1,1,0,0,0,3,0,2,n/a
42658,500.0,1200,33.12453405,-4.85766882,0,14,3,309,2002,13,3,119,112,4,5,3252,7,105,288,0,1,8,0,1,1,0,0,3,5,2,0,n/a
67523,20.0,1537,35.66507527,-3.34770932,0,24,30,300,1998,17,2,23,78,35024,4,14611,15,86,296,0,1,0,0,2,2,5,5,0,6,1,0,n/a
37034,500.0,1489,34.72199105,-8.86253212,0,11,4,360,1978,37,4,3,5,4,7,1244,0,15,58,6,1,0,5,6,6,0,0,0,6,0,0,n/a
42432,500.0,1798,34.70534261,-9.1394961,0,11,4,45,1978,37,4,3,5,35025,7,1351,0,15,16,6,1,0,5,6,6,0,0,0,6,0,0,n/a
27420,500.0,300,38.83713732,-4.77558442,0,4,8,200,1971,44,4,5,5,28881,2,10007,5,5,569,0,1,0,0,1,1,5,5,1,0,0,0,n/a
707,1000.0,1642,37.65808091,-3.7238624,3,3,2,45,1972,43,2,21,93,35026,2,8822,10,57,1365,6,0,0,5,6,6,0,0,0,0,0,0,n/a
48489,500.0,362,37.47632192,-6.28331307,0,5,6,1,1984,31,4,58,5,4,6,49,19,62,1285,0,1,0,0,1,1,0,0,1,6,0,0,n/a
51008,500.0,1700,33.32603356,-8.88128573,0,12,2,762,1985,30,4,11,9,35027,8,4411,16,75,731,0,0,0,1,4,4,0,0,2,6,0,0,n/a
72562,50.0,128,40.04071287,-10.49203103,0,99,1,400,2006,9,2,191,268,178,3,1235,3,84,190,0,1,1,0,2,2,0,0,0,3,1,0,n/a
10275,500.0,216,38.72134804,-5.17252308,0,4,3,120,1983,32,4,21,5,35028,2,18487,5,36,202,0,0,4,0,1,1,0,0,1,5,2,0,n/a
53540,300.0,1158,33.14491487,-3.71753771,0,17,3,135,1996,19,3,64,94,35029,1,1099,6,6,1305,0,1,5,0,1,1,0,0,0,3,1,0,n/a
43291,500.0,1140,33.33199615,-2.70336413,0,19,4,976,2000,15,4,221,219,35030,1,18488,18,108,303,0,1,2,0,1,1,3,3,2,5,2,0,n/a
8813,50.0,1140,33.13082951,-3.22665421,0,19,4,1753,1985,30,4,85,5,24114,1,1680,18,108,430,0,1,1,0,2,2,0,0,0,8,1,0,n/a
62343,500.0,1700,33.62516779,-8.86101931,0,12,2,224,1996,19,4,21,87,35031,7,18489,16,75,248,0,1,0,1,4,4,0,0,2,6,0,0,n/a
1649,500.0,1200,32.35815302,-4.96546043,0,14,3,698,2006,9,3,717,1145,35032,5,8774,7,105,1562,0,1,4,0,4,4,0,0,0,3,2,0,n/a
8822,50.0,1010,37.70648416,-4.00583487,0,3,3,180,2007,8,2,270,263,581,2,2187,10,17,47,7,1,1,0,2,2,1,1,1,3,0,0,n/a
10352,500.0,1700,33.66386327,-8.98179247,0,12,2,91,1996,19,4,44,80,35033,7,429,16,75,403,0,0,0,1,4,4,0,0,0,6,0,2,n/a
50878,500.0,1158,33.77857064,-3.06340514,0,17,2,173,2002,13,3,21,28,35034,1,709,6,11,940,7,0,0,3,6,6,0,0,0,2,0,0,n/a
15266,500.0,1700,33.58724528,-9.16743357,0,12,4,286,2000,15,4,25,19,35035,0,9050,16,32,40,0,2,0,0,1,1,0,0,0,0,0,0,n/a
51956,500.0,1190,38.4236917,-4.6312447,0,4,1,1,1974,41,4,21,5,178,2,1837,5,37,1461,0,1,0,0,1,1,0,0,0,0,0,0,n/a
44099,1500.0,642,37.12085919,-10.78502855,0,10,1,1,1992,23,2,11,9,226,3,16214,9,74,461,0,0,2,0,6,6,0,0,1,3,2,0,n/a
59,500.0,1158,33.59072198,-3.71955244,0,17,8,488,2005,10,3,338,5,35036,4,2149,6,46,1252,0,1,0,0,2,2,0,0,1,0,1,0,n/a
51359,50.0,-5,39.56082776,-9.13206159,0,80,13,530,2002,13,2,50,5,190,3,15216,13,102,740,0,0,1,0,3,3,0,0,4,3,1,1,n/a
15962,300.0,1140,33.08579615,-2.6398872200000003,0,19,6,164,2008,7,4,20,52,128,1,2075,18,34,45,0,1,5,0,3,3,3,3,2,3,3,0,n/a
17853,500.0,1226,33.06230846,-1.82664599,0,19,1,1200,1999,16,4,20,5,35037,1,18490,18,90,239,2,1,0,0,1,1,0,0,1,0,4,0,n/a
42040,500.0,1387,37.55433946,-3.28942377,0,3,4,1,1970,45,2,21,28,35038,2,166,10,29,459,6,1,0,5,1,1,0,0,1,0,0,0,n/a
72243,500.0,805,35.99024647,-10.53404797,0,10,5,250,1990,25,2,11,9,35039,7,15015,9,10,11,4,0,2,1,4,4,0,0,0,5,2,0,n/a
63653,500.0,1544,36.61868919,-3.29203785,0,2,2,200,2004,11,2,64,5,233,2,30,15,24,31,0,1,0,0,1,1,0,0,1,0,0,0,n/a
26510,500.0,1158,33.77914543,-3.32682925,0,17,2,183,1997,18,3,12,2,9219,4,7388,6,11,12,4,0,3,1,5,5,0,0,0,5,2,0,n/a
72053,500.0,1300,30.50096464,-2.59036242,0,18,30,413,2002,13,4,235,95,35040,1,18491,4,85,1286,0,0,0,0,1,1,0,0,1,0,3,0,n/a
29351,500.0,1369,34.25333419,-1.20066603,0,20,6,560,2011,4,3,449,334,35041,1,12959,1,72,2016,0,1,8,0,6,6,0,0,0,5,2,0,n/a
51897,300.0,1584,34.85944848,-4.97090922,0,13,2,1,1990,25,2,25,19,763,4,2224,17,31,807,0,2,5,0,3,3,3,3,2,5,3,0,n/a
20376,2400.0,1609,35.10908924,-8.18809279,0,11,2,137,1997,18,4,11,5,0,7,318,0,83,1098,0,1,2,0,0,0,0,0,0,7,2,0,n/a
26804,1000.0,334,36.50348726,-8.55105463,0,5,4,230,2010,5,4,196,5,35042,7,6737,19,97,911,2,1,3,0,6,6,0,0,0,5,2,0,n/a
67303,500.0,1070,36.80143513,-3.45135176,0,2,2,150,1988,27,2,21,5,35043,2,4520,15,24,500,0,1,0,0,1,1,0,0,0,0,3,0,n/a
69780,500.0,1286,37.62786033,-3.13469202,0,3,1,1,1962,53,2,21,16,33195,2,5708,10,20,745,8,1,0,6,6,6,0,0,1,0,0,0,n/a
45374,500.0,1140,33.08579615,-2.6398872200000003,0,17,1,215,1998,17,2,6,5,82,1,14291,18,76,254,4,0,3,1,3,3,0,0,0,5,2,1,n/a
54665,7.0,1624,37.22900273,-3.18441406,0,3,5,1,2008,7,2,54,46,35044,2,18492,10,56,516,5,1,0,4,2,2,0,0,0,0,0,0,n/a
39341,500.0,1282,30.12795597,-4.24867926,0,16,2,950,1978,37,2,21,28,35045,5,1484,12,42,81,7,0,1,0,5,5,0,0,0,3,1,0,n/a
8869,500.0,462,37.45782761,-11.20866259,0,10,1,1,1986,29,2,11,9,35046,3,5393,9,74,644,0,0,0,0,6,6,0,0,0,6,0,0,n/a
20691,500.0,1700,33.16618409,-8.942157,0,12,6,68,1995,20,4,38,30,35047,8,1144,16,68,447,0,0,3,0,4,4,0,0,1,5,2,0,n/a
19693,500.0,1571,35.52646919,-4.48085439,0,21,2,221,2008,7,2,40,43,28931,4,18493,2,52,191,0,1,0,0,1,1,0,0,2,0,0,0,n/a
14321,500.0,1546,31.9968789,-8.80386259,0,15,2,50,1985,30,4,15,5,35048,8,18309,11,14,304,0,0,4,0,1,1,0,0,0,3,2,0,n/a
63059,500.0,1158,33.51920554,-3.13524663,0,17,2,444,2002,13,2,21,28,35049,1,276,6,11,1522,4,0,0,1,2,2,0,0,1,3,1,0,n/a
67403,1000.0,-7,39.05964828,-5.28936932,0,4,3,25,2009,6,4,21,5,9911,2,2106,5,36,1231,0,0,0,0,1,1,0,0,1,3,1,0,n/a
28912,7.0,1133,37.22600343,-3.27103862,0,3,5,125,2008,7,2,54,46,35050,2,10273,10,56,516,5,1,0,4,2,2,0,0,0,0,0,0,n/a
12549,50.0,1120,35.56741628,-6.33698054,0,1,6,618,2000,15,4,64,89,215,4,13364,14,95,1625,0,1,6,0,2,2,0,0,0,3,0,0,n/a
